0,1,2,3
0,1,3600,0
0,1,2170,1
0,1,5450,1
0,4,3404,1
0,4,3244,1
0,7,2248,1
0,7,5256,0
0,12,4144,0
0,12,3931,1
0,18,4139,1
0,18,517,1
0,22,3608,1
0,24,458,1
0,29,4150,1
0,29,3977,1
0,33,2023,1
0,33,1489,1
0,35,2396,1
0,36,4981,0
0,39,3974,1
0,39,3875,0
0,46,4809,1
0,46,4375,1
0,47,3974,0
0,47,3959,0
0,48,2913,1
0,48,3115,1
0,49,4076,1
0,49,1982,1
0,50,3814,0
0,52,3917,1
0,52,3473,1
0,54,978,1
0,61,4266,1
0,63,1263,0
0,63,1160,1
0,67,490,1
0,67,158,1
0,69,4134,1
0,70,4279,1
0,70,3576,1
0,71,424,1
0,71,2014,1
0,73,3579,1
0,73,3606,1
0,75,3876,1
0,79,4090,1
0,82,830,1
0,82,376,1
0,83,2715,1
0,83,609,1
0,84,4062,1
0,84,3956,0
0,85,2158,1
0,87,3615,1
0,87,3291,1
0,89,3558,1
0,91,3716,0
0,91,5452,1
0,96,4532,1
0,96,3678,1
0,97,2850,1
0,97,1986,1
0,99,4067,1
0,99,5062,1
0,104,3844,1
0,104,3755,0
0,105,3886,0
0,105,3768,1
0,106,3547,1
0,106,4440,1
0,107,4708,1
0,107,3875,0
0,108,1025,1
0,110,3802,1
0,110,4206,0
0,111,4224,1
0,111,792,1
0,116,3834,0
0,116,2934,1
0,117,3142,0
0,117,3052,1
0,119,547,1
0,119,478,1
0,120,4067,1
0,120,3961,1
0,121,689,1
0,122,4365,1
0,122,2641,1
0,124,1015,1
0,124,3285,1
0,130,770,0
0,130,3704,1
0,131,1068,1
0,131,3667,1
0,132,4038,0
0,132,2730,1
0,133,4116,1
0,133,3234,1
0,140,4800,1
0,144,486,0
0,144,450,0
0,145,3762,1
0,145,2129,1
0,146,2282,1
0,146,4985,1
0,147,4127,0
0,147,5066,1
0,149,3912,1
0,149,3858,1
0,152,4008,1
0,152,3899,1
0,154,1573,1
0,154,557,1
0,160,3452,1
0,166,2959,1
0,167,3806,1
0,169,2449,1
0,170,4076,0
0,170,4026,1
0,172,2169,1
0,172,3787,0
0,175,3405,1
0,175,1679,1
0,180,3690,1
0,180,619,0
0,183,5565,1
0,185,3829,1
0,185,4188,1
0,191,3587,1
0,191,3679,0
0,193,3843,1
0,195,3897,0
0,196,1358,1
0,197,1411,1
0,197,3769,1
0,199,4685,1
0,199,2784,0
0,203,4142,1
0,203,4112,0
0,206,3844,1
0,206,3164,0
0,208,4455,1
0,208,3197,1
0,209,2045,1
0,213,4060,1
0,213,5375,1
0,214,810,1
0,214,2026,1
0,217,2244,1
0,217,1419,1
0,218,2943,1
0,218,2934,1
0,219,3819,1
0,219,3050,1
0,221,3615,1
0,221,2124,1
0,223,5365,1
0,226,4149,0
0,226,3209,1
0,228,4002,1
0,228,4133,1
0,229,3957,1
0,229,3775,1
0,230,3292,1
0,230,3287,1
0,231,3822,0
0,232,3615,1
0,232,3723,1
0,234,853,0
0,234,3454,1
0,235,1099,1
0,235,4952,1
0,238,3654,1
0,242,5021,1
0,242,2034,1
0,245,3817,1
0,245,4168,1
0,246,4284,1
0,246,3067,1
0,248,3933,1
0,250,3704,1
0,252,3065,1
0,252,4146,1
0,253,2449,1
0,254,5360,0
0,254,4330,1
0,257,3649,1
0,257,3957,0
0,258,2286,1
0,258,15,1
0,259,4099,1
0,259,2021,1
0,262,4146,1
0,262,4133,0
0,267,3087,1
0,267,3611,1
0,268,3675,1
0,268,4862,1
0,269,3003,1
0,269,996,1
0,272,4147,0
0,272,2638,1
0,273,490,1
0,274,2999,1
0,274,5524,1
0,275,4042,1
0,275,1439,1
0,276,3792,1
0,276,3812,1
0,282,3625,1
0,283,781,1
0,283,2167,1
0,286,1344,1
0,286,3717,0
0,288,3929,1
0,288,3951,0
0,290,3756,1
0,290,407,1
0,291,4070,1
0,291,3716,1
0,297,4142,1
0,297,3965,1
0,300,1052,1
0,300,308,1
0,301,3961,1
0,301,4067,1
0,302,2250,1
0,305,5189,1
0,305,2553,1
0,306,1044,1
0,306,1709,0
0,307,3769,1
0,307,3304,1
0,308,3779,1
0,308,5218,1
0,309,2638,0
0,309,4079,1
0,310,4412,1
0,310,2789,1
0,311,2246,1
0,313,2608,1
0,314,3824,1
0,314,4150,0
0,315,5301,1
0,315,510,0
0,316,4108,0
0,316,3769,1
0,319,5392,0
0,319,1892,1
0,320,4036,1
0,320,3682,0
0,322,2698,1
0,322,2400,1
0,324,3921,1
0,324,3960,1
0,328,4060,0
0,328,3857,1
0,329,3929,1
0,329,5066,1
0,331,4149,0
0,331,4148,0
0,333,5384,1
0,333,1836,1
0,335,3843,1
0,335,3831,1
0,336,4050,0
0,336,3962,0
0,337,4067,1
0,339,4067,1
0,339,4050,1
0,342,3691,1
0,345,3042,1
0,345,3505,1
0,346,3965,1
0,347,636,1
0,347,3197,1
0,348,1047,1
0,348,1711,0
0,349,4568,1
0,349,3923,0
0,351,4964,1
0,351,5343,1
0,352,2807,1
0,352,1719,1
0,353,4954,1
0,353,1026,1
0,354,4116,1
0,354,4067,1
0,357,4148,0
0,357,4063,1
0,358,4042,1
0,358,3677,0
0,359,4149,0
0,359,1367,1
0,363,2638,0
0,363,2025,1
0,365,1541,1
0,365,1380,1
0,371,3933,1
0,371,636,1
0,372,2034,1
0,372,2762,0
0,375,4078,0
0,375,3843,0
0,380,3003,0
0,380,4042,1
0,383,3835,0
0,383,4102,1
0,384,979,1
0,384,4331,1
0,387,5375,1
0,387,4079,1
0,388,2459,1
0,388,306,1
0,391,2827,1
0,391,3056,1
0,393,3886,0
0,395,3942,1
0,396,4130,1
0,396,2638,0
0,397,4471,1
0,397,2272,1
0,398,4499,1
0,398,4755,1
0,399,3056,1
0,400,3959,0
0,400,3957,1
0,401,4075,0
0,401,4050,0
0,402,619,1
0,402,4440,1
0,403,1360,1
0,403,4133,0
0,408,4079,1
0,408,3197,1
0,409,3974,0
0,409,3769,1
0,410,4142,0
0,410,4105,0
0,412,3160,0
0,412,4050,0
0,415,5095,0
0,415,1982,1
0,418,1199,1
0,420,43,1
0,420,1103,1
0,421,2106,1
0,421,2726,0
0,423,2120,1
0,425,5385,1
0,425,3939,1
0,428,3788,1
0,428,2765,1
0,429,4283,1
0,429,2807,1
0,430,3660,1
0,430,2872,1
0,433,1671,1
0,433,3403,1
0,434,2465,1
0,434,5260,0
0,436,5331,1
0,436,59,1
0,437,4100,1
0,437,952,1
0,439,3117,1
0,439,2006,1
0,440,847,1
0,440,4378,0
0,443,2469,1
0,448,2213,1
0,448,1307,1
0,452,1813,1
0,452,2081,1
0,453,4084,1
0,453,3852,1
0,454,3845,0
0,454,1232,0
0,458,439,1
0,458,1578,1
0,459,3296,1
0,459,2464,0
0,460,1303,1
0,460,4798,1
0,462,1009,1
0,462,3261,1
0,463,1298,1
0,463,984,1
0,465,2268,0
0,465,1821,0
0,466,415,1
0,466,601,1
0,467,328,1
0,470,5058,0
0,470,4534,0
0,472,3458,1
0,472,2945,1
0,474,894,1
0,477,4832,1
0,477,1836,1
0,479,3701,1
0,479,4095,1
0,480,2439,1
0,480,2505,1
0,482,1049,1
0,482,4367,1
0,483,2343,1
0,483,1749,1
0,484,245,0
0,484,4140,1
0,485,1588,1
0,485,3528,1
0,492,2493,1
0,492,5553,1
0,494,1160,1
0,494,746,1
0,499,3313,0
0,499,2453,0
0,500,4809,0
0,500,3123,1
0,501,5043,1
0,501,2453,1
0,502,3585,0
0,502,3454,1
0,506,2946,1
0,506,2507,1
0,509,4068,1
0,509,3834,0
0,510,2653,1
0,510,4569,1
0,512,1398,1
0,512,1671,1
0,515,3908,0
0,515,3898,0
0,518,2532,1
0,518,4117,0
0,520,4031,1
0,520,2002,1
0,522,1100,1
0,522,2762,0
0,524,3888,1
0,524,3040,1
0,525,4674,1
0,525,4206,1
0,526,983,1
0,527,604,1
0,527,3558,1
0,528,377,1
0,529,5231,1
0,529,773,1
0,530,1864,1
0,530,5423,1
0,531,3215,1
0,532,2087,0
0,532,2740,1
0,534,2627,1
0,534,2448,1
0,536,574,1
0,536,1543,0
0,537,4260,1
0,537,1916,0
0,538,3551,1
0,538,3806,1
0,539,2789,1
0,539,3696,1
0,541,374,1
0,541,1401,1
0,542,4898,1
0,543,237,1
0,543,4964,1
0,545,2522,1
0,545,2085,1
0,546,2582,0
0,546,2378,1
0,547,3211,0
0,547,2940,1
0,548,816,1
0,548,3469,1
0,550,1106,1
0,551,2043,0
0,551,16,1
0,557,209,1
0,557,363,1
0,558,2735,1
0,558,2773,1
0,562,3503,1
0,562,1848,0
0,563,3720,1
0,563,3768,1
0,565,303,0
0,567,3367,1
0,567,970,1
0,569,4084,0
0,569,3716,0
0,571,4276,1
0,572,4100,1
0,572,4713,1
0,573,3773,1
0,573,3399,1
0,577,4552,1
0,577,4818,1
0,582,4098,1
0,582,3884,0
0,583,3616,1
0,583,3875,0
0,584,3585,0
0,584,3404,0
0,588,2946,0
0,588,2575,1
0,592,4690,1
0,592,1898,1
0,593,2215,1
0,593,5230,1
0,594,171,1
0,595,3615,1
0,595,3442,1
0,596,2355,1
0,596,654,1
0,598,3319,1
0,598,376,1
0,599,3608,0
0,599,3540,0
0,604,3299,1
0,604,3811,0
0,606,2573,1
0,606,3704,0
0,607,1899,1
0,608,3909,1
0,608,290,1
0,609,4578,1
0,609,4536,1
